,Name,ICAO,Callsign,Country,Active
1117,Atlantic Airlines,NPT,NEPTUNE,United Kingdom,N
1118,Atlantic Richfield Company,NRS,NORTH SLOPE,United States,N
1119,Aerolineas Sosa,NSO,SOSA,Honduras,N
1120,Aero Norte,NTD,,Mexico,N
1121,Air Inter Ivoire,NTV,INTER-IVOIRE,Ivory Coast,N
1122,Aeroservicios De Nuevo Leon,NUL,SERVICIOS NUEVOLEON,Mexico,N
1123,Avial NV Aviation Company,NVI,NEW AVIAL,Russia,N
1124,Airwing,NWG,NORWING,Norway,N
1125,Air Next,NXA,BLUE-DOLPHIN,Japan,N
1126,Arkhangelsk 2 Aviation Division,OAO,DVINA,Russia,N
1127,Aerogisa,OGI,AEROGISA,Mexico,N
1128,Aerolineas Olve,OLV,OLVE,Mexico,N
1129,Aeromega,OMG,OMEGA,United Kingdom,N
1130,Air One Nine,ONR,EDER,Libya,N
1131,Air Ontario,ONT,ONTARIO,Canada,N
1132,Aerocorp,ORP,CORPSA,Mexico,N
1133,Action Air,ORS,AVIATION SERVICE,Italy,N
1134,Aerosan,OSN,AEROSAN,Mexico,N
1135,Aviapartner Limited Company,OSO,,Russia,N
1136,Aliparma,PAJ,ALIPARMA,Italy,N
1137,Air Parabet,PBT,PARABET,Bangladesh,N
1138,Air Burundi,PBU,AIR-BURUNDI,Burundi,N
1139,Aeropostal Cargo de Mexico,PCG,POSTAL CARGO,Mexico,N
1140,Air Pack Express,PCK,AIRPACK EXPRESS,Spain,N
1141,Air Palace,PCS,AIR PALACE,Mexico,N
1142,Aeropelican Air Services,PEL,PELICAN,Australia,Y
1143,Aerolineas Chihuahua,PFI,PACIFICO CHIHUAHUA,Mexico,N
1144,Air Cargo Express International,PFT,PROFREIGHT,United States,N
1145,Al Farana Airline,PHR,PHARAOH,Egypt,N
1146,Ave.com,PHW,PHOENIX SHARJAH,United Arab Emirates,N
1147,Air South West,PIE,PIRATE,United Kingdom,N
1148,Aeroservicios California Pacifico,PIF,AEROCALPA,Mexico,N
1149,AST Pakistan Airways,PKA,PAKISTAN AIRWAY,Pakistan,N
1150,Aero Personal,PNL,AEROPERSONAL,Mexico,N
1151,Aero Servicios Platinum,PNU,AERO PLATINUM,Mexico,N
1152,Apoyo Aereo,POY,APOYO AEREO,Mexico,N
1153,Aerotransportes Privados,PRI,AEROPRIV,Mexico,N
1154,Atlantic Coast Jet,PRT,PATRIOT,United States,N
1155,Air Paradise International,PRZ,RADISAIR,Indonesia,N
1156,Aeroservicio Sipse,PSE,SIPSE,Mexico,N
1157,Aeroservicios Corporativos De San Luis,PSL,CORSAN,Mexico,N
